"","Roczniki Filozoficzne","Synthese","Analiza i Egzystencja","Przegląd Filozoficzny - Nowa Seria","Studia Gilsoniana","Studia Philosophica Wratislaviensia","ARGUMENT: Biannual Philosophical Journal","Ruch Filozoficzny Quarterly","Forum Philosophicum","Studia z Historii Filozofii","Logos i Ethos","Studia Philosophiae Christianae","Logic and Logical Philosophy","Studies in Logic, Grammar and Rhetoric","Sensus Historiae","Rocznik Tomistyczny","The Religious Studies Review","Teksty Drugie","Studia Logica","Ethos. Quarterly of the John Paul II Institute at the Catholic University of Lublin and the John Paul II Foundation, Rome","Diametros","ETHOS. KWARTALNIK INSTYTUTU JANA PAWŁA II KUL","Review of Philosophy and Psychology","Zeszyty Naukowe Politechniki Śląskiej. Seria Organizacja i Zarządzanie","Religions","Ruch Filozoficzny","Acta Analytica","Erkenntnis","Art Inquiry","Rocznik Filozoficzny Ignatianum"
"Akademia Pedagogiki Specjalnej",0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Inst. Filozofii i Socjologii PAN",3,5,1,1,0,0,7,1,0,0,3,3,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Katolicki Uniwersytet Lubelski Jana Pawła II",49,2,8,0,37,0,0,0,2,1,0,0,3,1,0,0,0,0,1,0,1,10,0,0,1,0,1,0,0,0
"P. Warszawska",0,7,1,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"U. Gdański",14,2,1,2,1,1,1,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1
"U. Ignatianum w Krakowie",7,0,0,1,2,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"U. Jagielloński w Krakowie",2,23,7,4,0,1,2,2,1,2,3,0,5,0,0,1,1,0,1,0,3,0,2,0,1,0,5,2,2,1
"U. Kardynała Stefana Wyszyńskiego w Warszawie",6,2,0,1,3,0,0,3,1,2,0,7,2,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,2
"U. Kazimierza Wielkiego w Bydgoszczy",6,0,1,2,0,5,0,1,2,1,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"U. Komisji Edukacji Narodowej w Krakowie",1,0,8,2,0,2,9,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"U. Marii Curie-Skłodowskiej w Lublinie",1,1,5,3,0,0,5,7,1,1,0,0,0,1,0,0,3,0,0,4,1,1,0,0,1,0,0,0,5,0
"U. Mikołaja Kopernika w Toruniu",11,1,4,1,0,1,0,3,0,6,1,1,2,0,0,0,1,2,8,0,0,0,0,0,0,0,1,0,0,0
"U. Papieski Jana Pawła II w Krakowie",7,0,0,0,2,0,1,0,1,0,10,2,1,3,0,0,1,0,1,3,0,0,0,0,5,0,0,0,0,0
"U. Rzeszowski",1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0
"U. Szczeciński",9,1,8,0,0,2,3,1,2,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",0,0,2,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"U. Warszawski",9,23,3,15,0,2,3,1,1,2,0,0,3,0,0,0,0,1,2,3,4,0,7,0,1,0,2,2,0,0
"U. Wrocławski",6,0,8,3,0,19,1,3,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
"U. Zielonogórski w Zielonej Górze",3,0,2,3,0,0,1,1,0,4,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"U. w Białymstoku",3,1,2,3,0,0,1,1,1,3,1,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"U. w Poznaniu",0,5,0,3,0,4,0,2,0,1,0,2,0,0,20,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0
"U. Łódzki",6,2,1,5,0,0,1,3,0,2,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0
"U. Śląski w Katowicach",3,0,7,6,0,4,5,0,12,3,0,1,1,1,0,0,0,0,0,0,1,1,0,4,0,7,0,0,0,2
